palavra,n_vogais,vogais_unicas,letra_0,letra_1,letra_2,letra_3,letra_4,probabilidade,n_consoantes,consoantes_unicas,n_letras_diferentes
lavei,3,3,l,a,v,e,i,0.0,2,2,5
lavem,2,2,l,a,v,e,m,3.738946738703707e-05,3,3,5
laves,2,2,l,a,v,e,s,0.0,3,3,5
lavou,3,3,l,a,v,o,u,5.608420108055561e-05,2,2,5
lavra,2,1,l,a,v,r,a,7.477893477407414e-05,3,3,4
lavre,2,2,l,a,v,r,e,0.0,3,3,5
lavro,2,2,l,a,v,r,o,0.0,3,3,5
lazer,2,2,l,a,z,e,r,3.738946738703707e-05,3,3,5
lacai,3,2,l,a,c,a,i,0.0,2,2,4
lacam,2,1,l,a,c,a,m,0.0,3,3,4
lacar,2,1,l,a,c,a,r,0.0,3,3,4
lacas,2,1,l,a,c,a,s,0.0,3,3,4
lacos,2,2,l,a,c,o,s,7.477893477407414e-05,3,3,5
lacou,3,3,l,a,c,o,u,0.0,2,2,5
leais,3,3,l,e,a,i,s,9.347366846759269e-05,2,2,5
lebre,2,1,l,e,b,r,e,0.0001495578695481,3,3,4
ledes,2,1,l,e,d,e,s,0.0,3,3,4
legai,3,3,l,e,g,a,i,0.0,2,2,5
legal,2,2,l,e,g,a,l,0.0001121684021611,3,2,4
legam,2,2,l,e,g,a,m,0.0,3,3,5
legar,2,2,l,e,g,a,r,1.869473369351853e-05,3,3,5
legas,2,2,l,e,g,a,s,0.0,3,3,5
legou,3,3,l,e,g,o,u,0.0,2,2,5
legue,3,2,l,e,g,u,e,0.0,2,2,4
leiam,3,3,l,e,i,a,m,0.0,2,2,5
leias,3,3,l,e,i,a,s,0.0,2,2,5
leiga,3,3,l,e,i,g,a,0.0,2,2,5
leigo,3,3,l,e,i,g,o,1.869473369351853e-05,2,2,5
leite,3,2,l,e,i,t,e,0.0004112841412574,2,2,4
leito,3,3,l,e,i,t,o,0.0007851788151277,2,2,5
lemas,2,2,l,e,m,a,s,0.0,3,3,5
lemes,2,1,l,e,m,e,s,0.0,3,3,4
lemos,2,2,l,e,m,o,s,1.869473369351853e-05,3,3,5
lenda,2,2,l,e,n,d,a,0.0001121684021611,3,3,5
lendo,2,2,l,e,n,d,o,0.0001495578695481,3,3,5
lenga,2,2,l,e,n,g,a,0.0,3,3,5
lenha,2,2,l,e,n,h,a,0.0001121684021611,3,3,5
lenho,2,2,l,e,n,h,o,5.608420108055561e-05,3,3,5
lenta,2,2,l,e,n,t,a,0.0003551999401768,3,3,5
lente,2,1,l,e,n,t,e,5.608420108055561e-05,3,3,4
lento,2,2,l,e,n,t,o,0.0004486736086444,3,3,5
lenco,2,2,l,e,n,c,o,0.000579536744499,3,3,5
leoas,3,3,l,e,o,a,s,0.0,2,2,5
lepra,2,2,l,e,p,r,a,9.347366846759269e-05,3,3,5
leque,3,2,l,e,q,u,e,3.738946738703707e-05,2,2,4
leram,2,2,l,e,r,a,m,3.738946738703707e-05,3,3,5
leras,2,2,l,e,r,a,s,0.0,3,3,5
lerda,2,2,l,e,r,d,a,0.0,3,3,5
lerdo,2,2,l,e,r,d,o,0.0,3,3,5
lerei,3,2,l,e,r,e,i,0.0,2,2,4
lerem,2,1,l,e,r,e,m,3.738946738703707e-05,3,3,4
leres,2,1,l,e,r,e,s,0.0,3,3,4
leria,3,3,l,e,r,i,a,0.0,2,2,5
lerao,3,3,l,e,r,a,o,0.0,2,2,5
lesai,3,3,l,e,s,a,i,0.0,2,2,5
lesam,2,2,l,e,s,a,m,0.0,3,3,5
lesar,2,2,l,e,s,a,r,0.0,3,3,5
lesas,2,2,l,e,s,a,s,0.0,3,2,4
lesei,3,2,l,e,s,e,i,0.0,2,2,4
lesem,2,1,l,e,s,e,m,0.0,3,3,4
leses,2,1,l,e,s,e,s,0.0,3,2,3
lesma,2,2,l,e,s,m,a,0.0,3,3,5
lesou,3,3,l,e,s,o,u,0.0,2,2,5
lesse,2,1,l,e,s,s,e,0.0001308631358546,3,2,3
leste,2,1,l,e,s,t,e,0.0007103998803537,3,3,4
lesao,3,3,l,e,s,a,o,3.738946738703707e-05,2,2,5
letra,2,2,l,e,t,r,a,0.0002991157390962,3,3,5
levai,3,3,l,e,v,a,i,5.608420108055561e-05,2,2,5
levam,2,2,l,e,v,a,m,0.0002804210054027,3,3,5
levar,2,2,l,e,v,a,r,0.0009534314183694,3,3,5
levas,2,2,l,e,v,a,s,0.0003738946738703,3,3,5
levei,3,2,l,e,v,e,i,9.347366846759269e-05,2,2,4
levem,2,1,l,e,v,e,m,9.347366846759269e-05,3,3,4
leves,2,1,l,e,v,e,s,3.738946738703707e-05,3,3,4
levou,3,3,l,e,v,o,u,0.0007290946140472,2,2,5
leoes,3,2,l,e,o,e,s,0.0006730104129666,2,2,4
lhama,2,1,l,h,a,m,a,1.869473369351853e-05,3,3,4
liame,3,3,l,i,a,m,e,3.738946738703707e-05,2,2,5
libra,2,2,l,i,b,r,a,1.869473369351853e-05,3,3,5
liceu,3,3,l,i,c,e,u,1.869473369351853e-05,2,2,5
licor,2,2,l,i,c,o,r,0.0001121684021611,3,3,5
lidai,3,2,l,i,d,a,i,0.0,2,2,4
lidam,2,2,l,i,d,a,m,0.0,3,3,5
lidar,2,2,l,i,d,a,r,0.0,3,3,5
lidas,2,2,l,i,d,a,s,3.738946738703707e-05,3,3,5
lidei,3,2,l,i,d,e,i,0.0,2,2,4
lidem,2,2,l,i,d,e,m,0.0,3,3,5
lides,2,2,l,i,d,e,s,1.869473369351853e-05,3,3,5
lidos,2,2,l,i,d,o,s,0.0,3,3,5
lidou,3,3,l,i,d,o,u,0.0,2,2,5
ligai,3,2,l,i,g,a,i,0.0,2,2,4
ligam,2,2,l,i,g,a,m,7.477893477407414e-05,3,3,5
ligar,2,2,l,i,g,a,r,3.738946738703707e-05,3,3,5
ligas,2,2,l,i,g,a,s,0.0002430315380157,3,3,5
ligou,3,3,l,i,g,o,u,0.0,2,2,5
ligue,3,3,l,i,g,u,e,0.0,2,2,5
lilas,2,2,l,i,l,a,s,0.0,3,2,4
limai,3,2,l,i,m,a,i,0.0,2,2,4
limam,2,2,l,i,m,a,m,0.0,3,2,4
limar,2,2,l,i,m,a,r,0.0,3,3,5
limas,2,2,l,i,m,a,s,0.0,3,3,5
limbo,2,2,l,i,m,b,o,3.738946738703707e-05,3,3,5
limei,3,2,l,i,m,e,i,0.0,2,2,4
limem,2,2,l,i,m,e,m,0.0,3,2,4
limes,2,2,l,i,m,e,s,0.0,3,3,5
limou,3,3,l,i,m,o,u,0.0,2,2,5
limpa,2,2,l,i,m,p,a,0.0001121684021611,3,3,5
limpe,2,2,l,i,m,p,e,1.869473369351853e-05,3,3,5
limpo,2,2,l,i,m,p,o,0.0003178104727898,3,3,5
limao,3,3,l,i,m,a,o,3.738946738703707e-05,2,2,5
lince,2,2,l,i,n,c,e,1.869473369351853e-05,3,3,5
lindo,2,2,l,i,n,d,o,0.0002804210054027,3,3,5
linfa,2,2,l,i,n,f,a,0.0,3,3,5
linha,2,2,l,i,n,h,a,0.0025798732497055,3,3,5
linho,2,2,l,i,n,h,o,9.347366846759269e-05,3,3,5
liras,2,2,l,i,r,a,s,0.0,3,3,5
lisas,2,2,l,i,s,a,s,9.347366846759269e-05,3,2,4
lisos,2,2,l,i,s,o,s,1.869473369351853e-05,3,2,4
lista,2,2,l,i,s,t,a,0.0001121684021611,3,3,5
liste,2,2,l,i,s,t,e,0.0,3,3,5
listo,2,2,l,i,s,t,o,0.0,3,3,5
litro,2,2,l,i,t,r,o,3.738946738703707e-05,3,3,5
livra,2,2,l,i,v,r,a,0.0,3,3,5
livre,2,2,l,i,v,r,e,0.0010282103531435,3,3,5
livro,2,2,l,i,v,r,o,0.0018320839019648,3,3,5
lixai,3,2,l,i,x,a,i,0.0,2,2,4
lixam,2,2,l,i,x,a,m,0.0,3,3,5
lixar,2,2,l,i,x,a,r,0.0,3,3,5
lixas,2,2,l,i,x,a,s,0.0,3,3,5
lixei,3,2,l,i,x,e,i,0.0,2,2,4
lixem,2,2,l,i,x,e,m,0.0,3,3,5
lixes,2,2,l,i,x,e,s,0.0,3,3,5
lixou,3,3,l,i,x,o,u,0.0,2,2,5
lixao,3,3,l,i,x,a,o,0.0,2,2,5
licao,3,3,l,i,c,a,o,0.0003178104727898,2,2,5
lobas,2,2,l,o,b,a,s,0.0,3,3,5
lobos,2,1,l,o,b,o,s,9.347366846759269e-05,3,3,4
lobao,3,2,l,o,b,a,o,0.0,2,2,4
locai,3,3,l,o,c,a,i,0.0,2,2,5
local,2,2,l,o,c,a,l,0.0002056420706287,3,2,4
locam,2,2,l,o,c,a,m,0.0,3,3,5
locar,2,2,l,o,c,a,r,0.0,3,3,5
locas,2,2,l,o,c,a,s,0.0,3,3,5
locou,3,2,l,o,c,o,u,0.0,2,2,4
logra,2,2,l,o,g,r,a,0.0,3,3,5
logre,2,2,l,o,g,r,e,0.0,3,3,5
logro,2,1,l,o,g,r,o,0.0,3,3,4
loira,3,3,l,o,i,r,a,0.0,2,2,5
loiro,3,2,l,o,i,r,o,0.0,2,2,4
lojas,2,2,l,o,j,a,s,3.738946738703707e-05,3,3,5
lombo,2,1,l,o,m,b,o,7.477893477407414e-05,3,3,4
lonas,2,2,l,o,n,a,s,0.0,3,3,5
longa,2,2,l,o,n,g,a,0.0006917051466601,3,3,5
longe,2,2,l,o,n,g,e,0.0030472415920435,3,3,5
longo,2,1,l,o,n,g,o,0.0010282103531435,3,3,4
lopes,2,2,l,o,p,e,s,0.0001308631358546,3,3,5
loque,3,3,l,o,q,u,e,0.0,2,2,5
lorde,2,2,l,o,r,d,e,0.0,3,3,5
lotai,3,3,l,o,t,a,i,0.0,2,2,5
lotam,2,2,l,o,t,a,m,0.0,3,3,5
lotar,2,2,l,o,t,a,r,0.0,3,3,5
lotas,2,2,l,o,t,a,s,1.869473369351853e-05,3,3,5
lotei,3,3,l,o,t,e,i,0.0,2,2,5
lotem,2,2,l,o,t,e,m,0.0,3,3,5
lotes,2,2,l,o,t,e,s,0.0,3,3,5
lotea,3,3,l,o,t,e,a,0.0,2,2,5
lotou,3,2,l,o,t,o,u,0.0,2,2,4
louca,3,3,l,o,u,c,a,0.0001495578695481,2,2,5
louco,3,2,l,o,u,c,o,0.0005608420108055,2,2,4
loura,3,3,l,o,u,r,a,0.0001682526032416,2,2,5
louro,3,2,l,o,u,r,o,7.477893477407414e-05,2,2,4
lousa,3,3,l,o,u,s,a,0.0,2,2,5
louva,3,3,l,o,u,v,a,0.0,2,2,5
louve,3,3,l,o,u,v,e,0.0,2,2,5
louvo,3,2,l,o,u,v,o,3.738946738703707e-05,2,2,4
locao,3,2,l,o,c,a,o,0.0,2,2,4
lucas,2,2,l,u,c,a,s,0.0,3,3,5
lucra,2,2,l,u,c,r,a,1.869473369351853e-05,3,3,5
lucre,2,2,l,u,c,r,e,0.0,3,3,5
lucro,2,2,l,u,c,r,o,5.608420108055561e-05,3,3,5
lugar,2,2,l,u,g,a,r,0.0027107363855601,3,3,5
lulas,2,2,l,u,l,a,s,0.0,3,2,4
lunar,2,2,l,u,n,a,r,1.869473369351853e-05,3,3,5
lupas,2,2,l,u,p,a,s,0.0,3,3,5
lusas,2,2,l,u,s,a,s,0.0,3,2,4
lusos,2,2,l,u,s,o,s,0.0,3,2,4
lutai,3,3,l,u,t,a,i,0.0,2,2,5
lutam,2,2,l,u,t,a,m,3.738946738703707e-05,3,3,5
lutar,2,2,l,u,t,a,r,0.0001121684021611,3,3,5
lutas,2,2,l,u,t,a,s,9.347366846759269e-05,3,3,5
lutei,3,3,l,u,t,e,i,0.0,2,2,5
lutem,2,2,l,u,t,e,m,0.0,3,3,5
lutes,2,2,l,u,t,e,s,0.0,3,3,5
lutou,3,2,l,u,t,o,u,1.869473369351853e-05,2,2,4
luvas,2,2,l,u,v,a,s,9.347366846759269e-05,3,3,5
luxos,2,2,l,u,x,o,s,0.0,3,3,5
luzam,2,2,l,u,z,a,m,0.0,3,3,5
luzas,2,2,l,u,z,a,s,0.0,3,3,5
luzem,2,2,l,u,z,e,m,0.0,3,3,5
luzes,2,2,l,u,z,e,s,0.0002243368043222,3,3,5
luzia,3,3,l,u,z,i,a,5.608420108055561e-05,2,2,5
luzir,2,2,l,u,z,i,r,3.738946738703707e-05,3,3,5
luzis,2,2,l,u,z,i,s,0.0,3,3,5
luziu,3,2,l,u,z,i,u,0.0,2,2,4
labia,3,2,l,a,b,i,a,0.0,2,2,4
labio,3,3,l,a,b,i,o,0.0004486736086444,2,2,5
lacio,3,3,l,a,c,i,o,0.0,2,2,5
lapis,2,2,l,a,p,i,s,9.347366846759269e-05,3,3,5
latex,2,2,l,a,t,e,x,1.869473369351853e-05,3,3,5
legua,3,3,l,e,g,u,a,0.0004299788749509,2,2,5
lider,2,2,l,i,d,e,r,0.0,3,3,5
lieis,3,2,l,i,e,i,s,0.0,2,2,4
lirio,3,2,l,i,r,i,o,3.738946738703707e-05,2,2,4
litio,3,2,l,i,t,i,o,0.0,2,2,4
lotus,2,2,l,o,t,u,s,0.0,3,3,5
macas,2,1,m,a,c,a,s,3.738946738703707e-05,3,3,4
macho,2,2,m,a,c,h,o,0.0002430315380157,3,3,5
macia,3,2,m,a,c,i,a,0.0001308631358546,2,2,4
macio,3,3,m,a,c,i,o,5.608420108055561e-05,2,2,5
macro,2,2,m,a,c,r,o,0.0,3,3,5
magia,3,2,m,a,g,i,a,3.738946738703707e-05,2,2,4
magma,2,1,m,a,g,m,a,0.0,3,2,3
magna,2,1,m,a,g,n,a,1.869473369351853e-05,3,3,4
magno,2,2,m,a,g,n,o,0.0002056420706287,3,3,5
magoa,3,2,m,a,g,o,a,0.0001869473369351,2,2,4
magoe,3,3,m,a,g,o,e,0.0,2,2,5
magos,2,2,m,a,g,o,s,5.608420108055561e-05,3,3,5
magra,2,1,m,a,g,r,a,0.0001121684021611,3,3,4
magro,2,2,m,a,g,r,o,0.0002804210054027,3,3,5
magoo,3,2,m,a,g,o,o,0.0,2,2,4
maias,3,2,m,a,i,a,s,0.0,2,2,4
maior,3,3,m,a,i,o,r,0.0037202520050101,2,2,5
major,2,2,m,a,j,o,r,0.000579536744499,3,3,5
malas,2,1,m,a,l,a,s,3.738946738703707e-05,3,3,4
males,2,2,m,a,l,e,s,0.0001308631358546,3,3,5
malha,2,1,m,a,l,h,a,3.738946738703707e-05,3,3,4
malhe,2,2,m,a,l,h,e,0.0,3,3,5
malho,2,2,m,a,l,h,o,0.0,3,3,5
malta,2,1,m,a,l,t,a,5.608420108055561e-05,3,3,4
mamai,3,2,m,a,m,a,i,0.0,2,1,3
mamam,2,1,m,a,m,a,m,0.0,3,1,2
mamar,2,1,m,a,m,a,r,1.869473369351853e-05,3,2,3
mamas,2,1,m,a,m,a,s,0.0,3,2,3
mamei,3,3,m,a,m,e,i,0.0,2,1,4
mamem,2,2,m,a,m,e,m,0.0,3,1,3
mames,2,2,m,a,m,e,s,0.0,3,2,4
mamou,3,3,m,a,m,o,u,0.0,2,1,4
mamae,3,2,m,a,m,a,e,0.0010655998205305,2,1,3
mamao,3,2,m,a,m,a,o,0.0,2,1,3
manas,2,1,m,a,n,a,s,0.0,3,3,4
manca,2,1,m,a,n,c,a,3.738946738703707e-05,3,3,4
manco,2,2,m,a,n,c,o,0.0,3,3,5
manda,2,1,m,a,n,d,a,0.000504757809725,3,3,4
mande,2,2,m,a,n,d,e,0.0003365052064833,3,3,5
mando,2,2,m,a,n,d,o,0.0004112841412574,3,3,5
manea,3,2,m,a,n,e,a,0.0,2,2,4
manga,2,1,m,a,n,g,a,1.869473369351853e-05,3,3,4
manha,2,1,m,a,n,h,a,0.0024863995812379,3,3,4
mania,3,2,m,a,n,i,a,0.0,2,2,4
manja,2,1,m,a,n,j,a,0.0,3,3,4
manje,2,2,m,a,n,j,e,0.0,3,3,5
manjo,2,2,m,a,n,j,o,0.0,3,3,5
manos,2,2,m,a,n,o,s,0.0,3,3,5
mansa,2,1,m,a,n,s,a,5.608420108055561e-05,3,3,4
manso,2,2,m,a,n,s,o,0.0002056420706287,3,3,5
manta,2,1,m,a,n,t,a,7.477893477407414e-05,3,3,4
manto,2,2,m,a,n,t,o,9.347366846759269e-05,3,3,5
mante,2,2,m,a,n,t,e,0.0,3,3,5
manes,2,2,m,a,n,e,s,1.869473369351853e-05,3,3,5
mapas,2,1,m,a,p,a,s,5.608420108055561e-05,3,3,4
mapea,3,2,m,a,p,e,a,0.0,2,2,4
marca,2,1,m,a,r,c,a,9.347366846759269e-05,3,3,4
mares,2,2,m,a,r,e,s,0.0004299788749509,3,3,5
marra,2,1,m,a,r,r,a,0.0,3,2,3
masca,2,1,m,a,s,c,a,0.0,3,3,4
masco,2,2,m,a,s,c,o,0.0,3,3,5
massa,2,1,m,a,s,s,a,0.0004673683423379,3,2,3
matai,3,2,m,a,t,a,i,1.869473369351853e-05,2,2,4
matam,2,1,m,a,t,a,m,1.869473369351853e-05,3,2,3
matar,2,1,m,a,t,a,r,0.0006356209455796,3,3,4
matas,2,1,m,a,t,a,s,0.0005234525434185,3,3,4
matei,3,3,m,a,t,e,i,3.738946738703707e-05,2,2,5
matem,2,2,m,a,t,e,m,0.0001682526032416,3,2,4
mates,2,2,m,a,t,e,s,1.869473369351853e-05,3,3,5
matiz,2,2,m,a,t,i,z,1.869473369351853e-05,3,3,5
matos,2,2,m,a,t,o,s,0.0001682526032416,3,3,5
matou,3,3,m,a,t,o,u,5.608420108055561e-05,2,2,5
macom,2,2,m,a,c,o,m,0.0,3,2,4
macos,2,2,m,a,c,o,s,0.0,3,3,5
meada,3,2,m,e,a,d,a,0.0,2,2,4
mecha,2,2,m,e,c,h,a,0.0,3,3,5
medem,2,1,m,e,d,e,m,0.0,3,2,3
medes,2,1,m,e,d,e,s,0.0,3,3,4
medir,2,2,m,e,d,i,r,5.608420108055561e-05,3,3,5
medis,2,2,m,e,d,i,s,0.0,3,3,5
mediu,3,3,m,e,d,i,u,0.0,2,2,5
medos,2,2,m,e,d,o,s,1.869473369351853e-05,3,3,5
medra,2,2,m,e,d,r,a,3.738946738703707e-05,3,3,5
medre,2,1,m,e,d,r,e,0.0,3,3,4
medro,2,2,m,e,d,r,o,0.0,3,3,5
meias,3,3,m,e,i,a,s,0.0004299788749509,2,2,5
meiga,3,3,m,e,i,g,a,7.477893477407414e-05,2,2,5
meigo,3,3,m,e,i,g,o,3.738946738703707e-05,2,2,5
meios,3,3,m,e,i,o,s,0.0002430315380157,2,2,5
meiao,4,4,m,e,i,a,o,0.0,1,1,5
melai,3,3,m,e,l,a,i,0.0,2,2,5
melam,2,2,m,e,l,a,m,0.0,3,2,4
melar,2,2,m,e,l,a,r,0.0,3,3,5
melas,2,2,m,e,l,a,s,0.0,3,3,5
melei,3,2,m,e,l,e,i,0.0,2,2,4
melem,2,1,m,e,l,e,m,0.0,3,2,3
meles,2,1,m,e,l,e,s,0.0,3,3,4
melou,3,3,m,e,l,o,u,0.0,2,2,5
melro,2,2,m,e,l,r,o,0.0,3,3,5
melao,3,3,m,e,l,a,o,5.608420108055561e-05,2,2,5
menea,3,2,m,e,n,e,a,0.0,2,2,4
menir,2,2,m,e,n,i,r,0.0,3,3,5
menor,2,2,m,e,n,o,r,0.0007103998803537,3,3,5
menos,2,2,m,e,n,o,s,0.0059449253145388,3,3,5
menta,2,2,m,e,n,t,a,0.0,3,3,5
mente,2,1,m,e,n,t,e,0.0002430315380157,3,3,4
menti,2,2,m,e,n,t,i,1.869473369351853e-05,3,3,5
menus,2,2,m,e,n,u,s,0.0,3,3,5
meras,2,2,m,e,r,a,s,0.0,3,3,5
merce,2,1,m,e,r,c,e,0.0095530089173879,3,3,4
merda,2,2,m,e,r,d,a,0.0,3,3,5
meros,2,2,m,e,r,o,s,1.869473369351853e-05,3,3,5
mesas,2,2,m,e,s,a,s,0.0001121684021611,3,2,4
meses,2,1,m,e,s,e,s,0.0014768839617879,3,2,3
mesma,2,2,m,e,s,m,a,0.0041689256136546,3,2,4
mesmo,2,2,m,e,s,m,o,0.0098334299227907,3,2,4
metal,2,2,m,e,t,a,l,0.0001682526032416,3,3,5
metam,2,2,m,e,t,a,m,7.477893477407414e-05,3,2,4
metas,2,2,m,e,t,a,s,7.477893477407414e-05,3,3,5
metei,3,2,m,e,t,e,i,0.0,2,2,4
metem,2,1,m,e,t,e,m,5.608420108055561e-05,3,2,3
meter,2,1,m,e,t,e,r,0.000579536744499,3,3,4
metes,2,1,m,e,t,e,s,1.869473369351853e-05,3,3,4
meteu,3,2,m,e,t,e,u,0.0001495578695481,2,2,4
metia,3,3,m,e,t,i,a,0.0001121684021611,2,2,5
metro,2,2,m,e,t,r,o,0.0001121684021611,3,3,5
mexam,2,2,m,e,x,a,m,0.0,3,2,4
mexas,2,2,m,e,x,a,s,0.0,3,3,5
mexei,3,2,m,e,x,e,i,0.0,2,2,4
mexem,2,1,m,e,x,e,m,3.738946738703707e-05,3,2,3
mexer,2,1,m,e,x,e,r,0.0001495578695481,3,3,4
mexes,2,1,m,e,x,e,s,0.0,3,3,4
mexeu,3,2,m,e,x,e,u,0.0,2,2,4
mexia,3,3,m,e,x,i,a,3.738946738703707e-05,2,2,5
mecam,2,2,m,e,c,a,m,0.0,3,2,4
mecas,2,2,m,e,c,a,s,0.0,3,3,5
miado,3,3,m,i,a,d,o,0.0,2,2,5
miais,3,2,m,i,a,i,s,0.0,2,2,4
miamo,3,3,m,i,a,m,o,0.0,2,1,4
miara,3,2,m,i,a,r,a,0.0,2,2,4
miava,3,2,m,i,a,v,a,0.0,2,2,4
micos,2,2,m,i,c,o,s,0.0,3,3,5
micro,2,2,m,i,c,r,o,0.0,3,3,5
mieis,3,2,m,i,e,i,s,0.0,2,2,4
miemo,3,3,m,i,e,m,o,0.0,2,1,4
migra,2,2,m,i,g,r,a,0.0,3,3,5
migre,2,2,m,i,g,r,e,0.0,3,3,5
migro,2,2,m,i,g,r,o,0.0,3,3,5
mijai,3,2,m,i,j,a,i,0.0,2,2,4
mijam,2,2,m,i,j,a,m,0.0,3,2,4
mijar,2,2,m,i,j,a,r,0.0,3,3,5
mijas,2,2,m,i,j,a,s,0.0,3,3,5
mijei,3,2,m,i,j,e,i,0.0,2,2,4
mijem,2,2,m,i,j,e,m,0.0,3,2,4
mijes,2,2,m,i,j,e,s,0.0,3,3,5
mijou,3,3,m,i,j,o,u,0.0,2,2,5
milha,2,2,m,i,l,h,a,1.869473369351853e-05,3,3,5
milho,2,2,m,i,l,h,o,0.0001308631358546,3,3,5
mimai,3,2,m,i,m,a,i,0.0,2,1,3
mimam,2,2,m,i,m,a,m,0.0,3,1,3
mimar,2,2,m,i,m,a,r,0.0,3,2,4
mimas,2,2,m,i,m,a,s,0.0,3,2,4
mimei,3,2,m,i,m,e,i,0.0,2,1,3
mimem,2,2,m,i,m,e,m,0.0,3,1,3
mimes,2,2,m,i,m,e,s,0.0,3,2,4
mimos,2,2,m,i,m,o,s,0.0,3,2,4
mimou,3,3,m,i,m,o,u,0.0,2,1,4
minai,3,2,m,i,n,a,i,0.0,2,2,4
minam,2,2,m,i,n,a,m,0.0,3,2,4
minar,2,2,m,i,n,a,r,0.0,3,3,5
minei,3,2,m,i,n,e,i,1.869473369351853e-05,2,2,4
minem,2,2,m,i,n,e,m,0.0,3,2,4
mines,2,2,m,i,n,e,s,0.0,3,3,5
minha,2,2,m,i,n,h,a,0.0158344394384102,3,3,5
minis,2,1,m,i,n,i,s,0.0,3,3,4
minou,3,3,m,i,n,o,u,0.0,2,2,5
minta,2,2,m,i,n,t,a,1.869473369351853e-05,3,3,5
minto,2,2,m,i,n,t,o,5.608420108055561e-05,3,3,5
miolo,3,2,m,i,o,l,o,1.869473369351853e-05,2,2,4
mirai,3,2,m,i,r,a,i,0.0,2,2,4
miram,2,2,m,i,r,a,m,5.608420108055561e-05,3,2,4
mirar,2,2,m,i,r,a,r,0.0001308631358546,3,2,4
miras,2,2,m,i,r,a,s,0.0,3,3,5
mirei,3,2,m,i,r,e,i,0.0,2,2,4
mirem,2,2,m,i,r,e,m,1.869473369351853e-05,3,2,4
mires,2,2,m,i,r,e,s,1.869473369351853e-05,3,3,5
mirou,3,3,m,i,r,o,u,7.477893477407414e-05,2,2,5
mirra,2,2,m,i,r,r,a,0.0,3,2,4
missa,2,2,m,i,s,s,a,0.0006169262118861,3,2,4
mista,2,2,m,i,s,t,a,1.869473369351853e-05,3,3,5
misto,2,2,m,i,s,t,o,0.0001682526032416,3,3,5
mitos,2,2,m,i,t,o,s,0.0,3,3,5
mitra,2,2,m,i,t,r,a,0.0001308631358546,3,3,5
mixos,2,2,m,i,x,o,s,0.0,3,3,5
mixto,2,2,m,i,x,t,o,0.0,3,3,5
miuda,3,3,m,i,u,d,a,3.738946738703707e-05,2,2,5
miudo,3,3,m,i,u,d,o,0.0001682526032416,2,2,5
moais,3,3,m,o,a,i,s,0.0,2,2,5
moamo,3,2,m,o,a,m,o,0.0,2,1,3
modas,2,2,m,o,d,a,s,1.869473369351853e-05,3,3,5
modem,2,2,m,o,d,e,m,0.0,3,2,4
modos,2,1,m,o,d,o,s,0.0002617262717092,3,3,4
moeda,3,3,m,o,e,d,a,0.0002243368043222,2,2,5
moeis,3,3,m,o,e,i,s,0.0,2,2,5
moela,3,3,m,o,e,l,a,0.0,2,2,5
moemo,3,2,m,o,e,m,o,0.0,2,1,3
moera,3,3,m,o,e,r,a,0.0,2,2,5
mofai,3,3,m,o,f,a,i,0.0,2,2,5
mofam,2,2,m,o,f,a,m,0.0,3,2,4
mofar,2,2,m,o,f,a,r,0.0,3,3,5
mofas,2,2,m,o,f,a,s,0.0,3,3,5
mofei,3,3,m,o,f,e,i,0.0,2,2,5
mofem,2,2,m,o,f,e,m,0.0,3,2,4
mofes,2,2,m,o,f,e,s,1.869473369351853e-05,3,3,5
mofou,3,2,m,o,f,o,u,0.0,2,2,4
mogem,2,2,m,o,g,e,m,0.0,3,2,4
moges,2,2,m,o,g,e,s,0.0,3,3,5
mogno,2,1,m,o,g,n,o,0.0,3,3,4
mogol,2,1,m,o,g,o,l,1.869473369351853e-05,3,3,4
moita,3,3,m,o,i,t,a,1.869473369351853e-05,2,2,5
molar,2,2,m,o,l,a,r,0.0,3,3,5
molas,2,2,m,o,l,a,s,1.869473369351853e-05,3,3,5
molda,2,2,m,o,l,d,a,0.0,3,3,5
molde,2,2,m,o,l,d,e,0.0003925894075638,3,3,5
moldo,2,1,m,o,l,d,o,1.869473369351853e-05,3,3,4
moles,2,2,m,o,l,e,s,5.608420108055561e-05,3,3,5
molha,2,2,m,o,l,h,a,3.738946738703707e-05,3,3,5
molhe,2,2,m,o,l,h,e,0.0,3,3,5
molho,2,1,m,o,l,h,o,3.738946738703707e-05,3,3,4
momos,2,1,m,o,m,o,s,0.0,3,2,3
monge,2,2,m,o,n,g,e,5.608420108055561e-05,3,3,5
monja,2,2,m,o,n,j,a,1.869473369351853e-05,3,3,5
monta,2,2,m,o,n,t,a,0.0001308631358546,3,3,5
monte,2,2,m,o,n,t,e,0.0024116206464638,3,3,5
monto,2,1,m,o,n,t,o,3.738946738703707e-05,3,3,4
morai,3,3,m,o,r,a,i,0.0,2,2,5
moral,2,2,m,o,r,a,l,0.0006169262118861,3,3,5
moram,2,2,m,o,r,a,m,3.738946738703707e-05,3,2,4
morar,2,2,m,o,r,a,r,5.608420108055561e-05,3,2,4
moras,2,2,m,o,r,a,s,0.0,3,3,5
morda,2,2,m,o,r,d,a,1.869473369351853e-05,3,3,5
morde,2,2,m,o,r,d,e,0.0,3,3,5
mordi,2,2,m,o,r,d,i,0.0,3,3,5
mordo,2,1,m,o,r,d,o,1.869473369351853e-05,3,3,4
morei,3,3,m,o,r,e,i,0.0,2,2,5
